ก.	kram0	gram;abbr. for กรัม
ทาสปัญญา	Ta:t2pan0ja:0	wicked idea
ทาสผู้หญิง	Ta:t2sa0Pu:2jiN4	woman slave
ทาสา	Ta:0sa:4	slave
ทาสี	Ta:0si:4	slave;to paint
ทำ	Tam0	to do;to act;to work;to make;to have plastic surgery
ทำกรรม	Tam0kam0	to commit;to cause trouble
ทำกรรมทำเวร	Tam0kam0Tam0we:n0	to commit a sin
ทำกันได้	Tam0kan0da:j2	to do sth without hesitating
ทำกับข้าว	Tam0kap1Ka:w2	to cook
ทำการ	Tam0ka:n0	to work;to do
ทำการกสิกรรม	Tam0ka:n0ka0si1kam0	to cultivate
ทำการค้า	Tam0ka:n0Ka:3	to trade;to do business
ทำการทำงาน	Tam0ka:n0Tam0Na:n0	to work
ทำการบ้าน	Tam0ka:n0ba:n2	to do homework
ทำการปรองดอง	Tam0ka:n0prO:N0dO:N0	to make concessions
ทำการเกษตร	Tam0ka:n0ka0se:t1	to cultivate;to farm;to plant
ทำการเพาะปลูก	Tam0ka:n0PO3plu:k1	to cultivate
ทำการแทน	Tam0ka:n0TE:n0	to depute
ทำกำไร	Tam0kam0raj0	to make a profit
ทำขวัญ	Tam0Kwan4	to compensate;to perform ceremony for encouragement
ทำครัว	Tam0Kru:a0	to cook
ทำความ	Tam0Kwa:m0	to quarrel;to cause trouble
ทำความดี	Tam0Kwa:m0di:0	to do good
ทำความตกลง	Tam0Kwa:m0tok1loN0	to contract
ทำความสะอาด	Tam0Kwa:m0sa0a:t1	to clean
ทำความสะอาดร่างกาย	Tam0Kwa:m0sa0a:t1ra:N2ka:j0	to wash
ทำความเข้าใจ	Tam0Kwa:m0Kaw2caj0	to try to understand
ทำความเคารพ	Tam0Kwa:m0Kaw0rop3	to salute;to greet
ทำคุณ	Tam0Kun0	to oblige;to carry out the sorcery
ทำคุณทำไสย	Tam0Kun0Tam0saj4	to carry out the sorcery
ทำงาน	Tam0Na:n0	to work
ทำงานต่อ	Tam0Na:n0tO:1	to go on working
ทำงานทำการ	Tam0Na:n0Tam0ka:n0	to work
ทำงานบ้าน	Tam0Na:n0ba:n2	to do housework
ทำงานมาก	Tam0Na:n0ma:k2	to work hard
ทำงานหนัก	Tam0Na:n0nak1	to work hard
ทำงามหน้า	Tam0Na:m0na:2	to behave shamefully
ทำจาก	Tam0ca:k1	to make of
ทำชั่ว	Tam0Cu:a2	to do evil;to commit a sin
ทำชื่อ	Tam0CW:2	to have good reputation
ทำซ้ำ	Tam0sam3	to repeat
ทำดี	Tam0di:0	to do good
ทำดีที่สุด	Tam0di:0Ti:2sut1	to do one's best
ทำด้วยตัวเอง	Tam0du:aj2tu:a0e:N0	to do single-handed
ทำตน	Tam0ton0	to behave
ทำตัว	Tam0tu:a0	to behave
ทำตัวเด่น	Tam0tu:a0den1	to show off
ทำตา	Tam0ta:0	to show one's feeling with one's eyes
ทำตาม	Tam0ta:m0	to imitate;to copy;to obey;to follow
ทำตามอย่าง	Tam0ta:m0ja:N1	to imitate
ทำตามแบบ	Tam0ta:m0bE:p1	to imitate
ทำต่อ	Tam0tO:1	to follow
ทำถนน	Tam0Ta0non4	to build a road
ทำทาง	Tam0Ta:N0	to open a trail
ทำทาน	Tam0Ta:n0	to donate;to give alms
ทำที	Tam0Ti:0	to deceive;to pretend
ทำท่า	Tam0Ta:2	seem;look like;to act
ทำท่าทำทาง	Tam0Ta:2Tam0Ta:N0	to act
ทำนบ	Tam0nop3	dam;dike;dyke;embankment
ทำนอง	Tam0nO:N0	rhythm;style;manner
ทำนองคลองธรรม	Tam0nO:N0KlO:N0Tam0	ethics;moral
ทำนองเดียวกับ	Tam0nO:N0di:aw0kap1	likewise;in the same way as
ทำนองเพลง	Tam0nO:N0Ple:N0	melody;tune
ทำนองเสนาะ	Tam0nO:N0sa0nO1	rhythm of prose
ทำนองเสียง	Tam0nO:N0si:aN4	tune;melody;tone;rhythm
ทำนา	Tam0na:0	to farm
ทำนาย	Tam0na:j0	to predict
ทำนายทายทัก	Tam0na:j0Ta:j0Tak3	to predict
ทำนายใจ	Tam0na:j0caj0	to read sb's mind
ทำนุ	Tam0nu3	to maintain;to preserve
ทำนุบำรุง	Tam0nu3bam0ruN0	to care;to maintain;to preserve
ทำนูล	Tam0nu:n0	to tell;to inform;to carry on one's head
ทำบาป	Tam0ba:p1	to commit a sin;to do evil
ทำบาปทำกรรม	Tam0ba:p1Tam0kam0	to commit a sin
ทำบุญ	Tam0bun0	to do good
ทำบุญทำกุศล	Tam0bun0Tam0ku0son4	to make merit
ทำบุญทำทาน	Tam0bun0Tam0Ta:n0	to do good
ทำบุญสุนทาน	Tam0bun0sun4Ta:n0	to make merit
ทำปก	Tam0pok1	to bind book
ทำประตู	Tam0pra0tu:0	to kick a ball into the goal;to score
ทำประโยชน์	Tam0pra0jo:t1	to make profit
ทำปลา	Tam0pla:0	to clean a fish before cooking;to scale off a fish
ทำปากทำคอ	Tam0pa:k1Tam0KO:0	to speak in an affected way
ทำผิด	Tam0Pit1	to make a mistake
ทำผิดกฎหมาย	Tam0Pit1kot1ma:j4	to break the law
ทำพยศ	Tam0Pa0jot3	to rampage
ทำพิษ	Tam0Pit3	to cause trouble
ทำฟัน	Tam0fan0	to treat people's teeth
ทำมาค้าขาย	Tam0ma:0Ka:3Ka:j4	to trade;to do business
ทำมาหากิน	Tam0ma:0ha:4kin0	to earn a living
ทำมิดีมิร้าย	Tam0mi3di:0mi3ra:j3	to commit dark deeds
ทำมือทำไม้	Tam0mW:0Tam0ma:j3	to gesture;to pose;to act
ทำรัง	Tam0raN0	to build nest
ทำราชการ	Tam0ra:t2Ca0ka:n0	to work in the government office
ทำร้าย	Tam0ra:j3	to do harm;to hurt
ทำร้ายจิตใจ	Tam0ra:j3cit1caj0	to hurt one's feeling;to grieve;to sadden
ทำร้ายร่างกาย	Tam0ra:j3ra:N2ka:j0	to attack;to molest;to harm
ทำฤทธิ์	Tam0rit3	to rampage
ทำฤทธิ์ทำเดช	Tam0rit3Tam0de:t1	to rampage
ทำลวก ๆ	Tam0lu:ak2lu:ak2	to do sth casually;to do sth carelessly
ทำลาย	Tam0la:j0	to destroy;to damage
ทำลายขวัญ	Tam0la:j0Kwan4	to discourage
ทำลายชื่อเสียง	Tam0la:j0CW:2si:aN4	to malign
ทำลายพิษ	Tam0la:j0Pit3	to detoxify
ทำลายล้าง	Tam0la:j0la:N3	to smash;to break
ทำลายสถิติ	Tam0la:j0sa0Ti1ti1	to break the record
ทำลายเกียรติ	Tam0la:j0ki:at1	to discredit;to disgrace
ทำลายเชื้อ	Tam0la:j0CW:a3	to sterilize
ทำลิง	Tam0liN0	naughty;to act as monkey
ทำลิงทำค่าง	Tam0liN0Tam0Ka:N2	naughty
ทำวัตร	Tam0wat3	to say prayers to Buddha;to observe religious practice
ทำวัตรค่ำ	Tam0wat3Kam2	to pray in the evening
ทำวัตรพระ	Tam0wat3Pra3	to say prayers to Buddha
ทำวัตรเช้า	Tam0wat3Ca:w3	to pray in the morning
ทำวัตรเย็น	Tam0wat3jen0	to pray in the evening
ทำศพ	Tam0sop1	to cremate
ทำศึก	Tam0sWk1	to battle
ทำสงคราม	Tam0soN4Kra:m0	to battle
ทำสมาธิ	Tam0sa0ma:0Ti3	to concentrate
ทำสวน	Tam0su:an4	to garden;to plant;to grow;to be engaged in farming
ทำสวนทำไร่	Tam0su:an4Tam0raj2	to do paddy farming
ทำสัญญา	Tam0san4ja:0	to make an agreement;to make a contract
ทำสาว	Tam0sa:w4	to repair the vagina;to perform a plastic surgery on the vagina
ทำสำเนา	Tam0sam4naw0	to duplicate;to copy
ทำสำเร็จ	Tam0sam4ret1	to succeed
ทำหนังสือ	Tam0naN3sW:4	to publish
ทำหน้าตาย	Tam0na:2ta:j0	to make a deadpan face
ทำหน้าทำตา	Tam0na:2Tam0ta:0	to make a funny face
ทำหน้าที่	Tam0na:2Ti:2	to perform;to do one's duty
ทำหน้าที่แทน	Tam0na:2Ti:2TE:n0	to represent;to act as
ทำหมัน	Tam0man4	to sterilize;to have birth control
ทำหูทวนลม	Tam0hu:4Tu:an0lom0	to pay no attention;to listen with no attention;to pretend not to hear
ทำอย่างตั้งใจ	Tam0ja:N1taN2caj0	concentrate
ทำอันตราย	Tam0an0ta0ra:j0	to hurt;to harm
ทำอาหาร	Tam0a:0ha:n4	to cook
ทำอิดเอื้อน	Tam0it1W:an2	to loiter
ทำอีกครั้ง	Tam0i:k1KraN3	to repeat
ทำอุบาย	Tam0u1ba:j0	to trick
ทำเกินขอบเขต	Tam0kx:n0KO:p1Ke:t1	to overstep
ทำเกินไป	Tam0kx:n0paj0	to overdo
ทำเครื่องหมาย	Tam0KrW:aN2ma:j4	to point
ทำเงิน	Tam0Nxn0	to earn money
ทำเจ็บ	Tam0cep1	to hurt
ทำเฉย	Tam0Cx:j4	standoffish
ทำเนา	Tam0naw0	never mind;so-so;tolerable
ทำเนียบ	Tam0ni:ap2	residence;official residence;directory;blue book
ทำเนียบขาว	Tam0ni:ap2Ka:w4	White House
ทำเนียบท่าเรือ	Tam0ni:ap2Ta:2rW:a0	port of discharge
ทำเนียบนาม	Tam0ni:ap2na:m0	names listed by a king
ทำเนียบรัฐบาล	Tam0ni:ap2rat3Ta0ba:n0	Government House
ทำเบ่ง	Tam0beN1	to put on airs
ทำเป็น	Tam0pen0	to be able to
ทำเป็นทองไม่รู้ร้อน	Tam0pen0TO:N0maj2ru:3rO:n3	to pretend indifference
ทำเป็นนิสัย	Tam0pen0ni3saj4	to have the habit of
ทำเป็นเล่น	Tam0pen0len2	to treat (a serious matter) as a trifle
ทำเพลง	Tam0Ple:N0	to play (music)
ทำเล	Tam0le:0	site;location;place
ทำเลดี	Tam0le:0di:0	good location
ทำเลทอง	Tam0le:0TO:N0	good location
ทำเลที่ตั้ง	Tam0le:0Ti:2taN2	location;position
ทำเลว	Tam0le:w0	to do evil
ทำเล็บ	Tam0lep3	to dress a fingernail
ทำเล่น ๆ	Tam0len2len2	flippant;playful
ทำเล่ห์กล	Tam0len2kon0	to trick
ทำเวร	Tam0we:n0	to be on duty;to do evil;to commit a sin
ทำเวรทำกรรม	Tam0we:n0Tam0kam0	to commit a sin
ทำเวลา	Tam0we:0la:0	to make time;to perform at the required time
ทำเสน่ห์	Tam0sa0ne:1	to charm;to use a love potion
ทำเสน่ห์ยาแฝด	Tam0sa0ne:1ja:0fE:t1	to charm
ทำเสียเจ็บ	Tam0si:a4cep1	to hurt;to make trouble
ทำเหตุ	Tam0he:t1	to make trouble
ทำเอา	Tam0aw0	to cause
ทำเอาเจ็บ	Tam0aw0cep1	to hurt;to make trouble
ทำแต้ม	Tam0tE:m2	to kick a ball into the goal
ทำแทน	Tam0TE:n0	to replace;instead
ทำแท้ง	Tam0TE:N3	to abort
ทำแผล	Tam0PlE:4	to bandage;to dress
ทำโดยพลการ	Tam0do:j0Pa0la0ka:n0	to act arbitrary
ทำโดยลำพัง	Tam0do:j0lam0PaN0	to act arbitrary
ทำโทษ	Tam0To:t2	to punish;to penalize
ทำใจ	Tam0caj0	to control one's mind
ทำใจจดจ่อ	Tam0caj0cot1cO:1	to concentrate
ทำใหญ่	Tam0jaj1	to act big
ทำใหม่	Tam0maj1	to repeat
ทำให้	Tam0haj2	to cause;to make
ทำให้กว้าง	Tam0haj2kwa:N2	to widen
ทำให้คด	Tam0haj2Kot3	to bend
ทำให้จำยอม	Tam0haj2cam0jO:m0	to subdue
ทำให้ดำรงอยู่	Tam0haj2dam0roN0ju:1	to maintain
ทำให้ดีขึ้น	Tam0haj2di:0KWn2	to enhance
ทำให้ตรง	Tam0haj2troN0	to bend
ทำให้ตลอด	Tam0haj2ta0lO:t1	to follow
ทำให้ทรงอยู่	Tam0haj2soN0ju:1	to maintain
ทำให้บาดเจ็บ	Tam0haj2ba:t1cep1	to hurt
ทำให้พอใจ	Tam0haj2PO:0caj0	to console
ทำให้พินาศ	Tam0haj2Pi3na:t2	to destroy
ทำให้พึงใจ	Tam0haj2PWN0caj0	to console
ทำให้มัวหมอง	Tam0haj2mu:a0mO:N4	to malign
ทำให้ราบ	Tam0haj2ra:p2	to subdue
ทำให้รุ่งเรืองขึ้น	Tam0haj2ruN2rW:aN0KWn2	to enhance
ทำให้สบายใจ	Tam0haj2sa0ba:j0caj0	to console
ทำให้สำเร็จ	Tam0haj2sam4ret1	to succeed
ทำให้สิ้นพยศ	Tam0haj2sin2Pa0jot3	to subdue
ทำให้สิ้นฤทธิ์	Tam0haj2sin2rit3	to subdue
ทำให้หมดจด	Tam0haj2mot1cot1	to clean
ทำให้หมดทุกข์	Tam0haj2mot1Tuk3	to ease
ทำให้หยุด	Tam0haj2jut1	to switch off
ทำให้หลง	Tam0haj2loN4	to charm
ทำให้หลงรัก	Tam0haj2loN4rak3	to charm
ทำให้หลงใหล	Tam0haj2loN4laj4	to charm
ทำให้หลุดพ้น	Tam0haj2lut1Pon3	to release
ทำให้อยู่ในอำนาจ	Tam0haj2ju:1naj0am0na:t2	to subdue
ทำให้เกิด	Tam0haj2kx:t1	to cause;to effect
ทำให้เจ็บ	Tam0haj2cep1	to hurt
ทำให้เชื่อง	Tam0haj2CW:aN2	to subdue
ทำให้เดือดร้อน	Tam0haj2dW:at1rO:n3	to disturb
ทำให้เบิกบาน	Tam0haj2bx:k1ba:n0	to console
ทำให้เป็นรู ๆ	Tam0haj2pen0ru:0ru:0	to perforate
ทำให้เรียบ	Tam0haj2ri:ap2	to level
ทำให้เสมอ	Tam0haj2sa0mx:4	to level
ทำให้เสร็จ	Tam0haj2set1	to finish
ทำให้เสียหาย	Tam0haj2si:a4ha:j4	to malign
ทำไก๋	Tam0kaj4	to pretend ignorance
ทำได้	Tam0da:j2	to be able to;to know how to
ทำได้ลงคอ	Tam0da:j2loN0KO:0	to do sth without hesitating
ทำไปทำมา	Tam0paj0Tam0ma:0	to get an unexpectedly result
ทำไพ่	Tam0Paj2	to shuffle cards
ทำไฟ	Tam0faj0	to generate electricity
ทำไม	Tam0maj0	why
ทำไม่รู้ไม่ชี้	Tam0maj2ru:3maj2Ci:3	to pretend innocence
ทำไม่รู้ไม่เห็น	Tam0maj2ru:3maj2hen4	to feign innocence
ทำไร่	Tam0raj2	to do farming
ทำไร่ทำนา	Tam0raj2Tam0na:0	to do farming
ทำไร่ทำสวน	Tam0raj2Tam0su:an4	to garden
ทำไร่ไถนา	Tam0raj2Taj4na:0	to do farming
ทิฆัมพร	Ti3Kam0PO:n0	sky
ทิงเจอร์	TiN0cx:0	tincture
ทิชชู	Tit3Cu:2	tissue paper;toilet paper
ทิชากร	Ti3Ca:0kO:n0	bird
ทิฐิ	Tit3Ti1	conviction;pride;stubbornness
ทิด	Tit3	man who resumes secular life
ทินกร	Tin0na0kO:n0	sun
ทินศูนย์	Ti3na0su:n4	bad day
ทินเนอร์	Tin0nx:2	thinner
ทิป	Tip3	tip;to tip
ทิพ	Tip3	day;day of the week;day time;heaven;sky
ทิพยจักษุ	Tip3Pa0ja0cak1su1	celestial eye;supernatural eye
ทิพยจักษุญาณ	Tip3Pa0ja0cak1su1ja:n0	divine insight
ทิพยญาณ	Tip3Pa0ja0ja:n0	omniscience;spiritual enlightenment
ทิพยพยาน	Tip3Pa0ja0Pa0ja:n0	sacred witness;reliable witness
ทิพยมานุษ	Tip3Pa0ja0ma:0nut3	celestial human;demi-god;half-human-half-god
ทิพยรส	Tip3Pa0ja0rot3	magical liquid;delicious taste
ทิพยอำนาจ	Tip3Pa0ja0am0na:t2	power of heaven
ทิพยเนตร	Tip3Pa0ja0ne:t2	supernatural eye
ทิพย์	Tip3	divine;supernatural;celestial
ทิพากร	Ti3Pa:0kO:n0	sun
ทิพโสต	Tip3Pa0so:t1	heavenly ears;supernatural hearing
ทิม	Tim0	row rooms for resting or storage purpose in the palace
ทิว	Tiw0	row;line
ทิวทัศน์	Tiw0Tat3	view;scenery;landscape
ทิวภาพ	Tiw0Pa:p2	scenery
ทิวา	Ti3wa:0	day;daytime
ทิวากร	Ti3wa:0kO:n0	sun
ทิวากาล	Ti3wa:0ka:n0	day;daytime
ทิวเขา	Tiw0Kaw4	mountain range
ทิวแถว	Tiw0TE:w4	row;line;range
ทิวไม้	Tiw0ma:j3	line of trees
ทิศ	Tit3	direction
ทิศตะวันตก	Tit3ta0wan0tok1	west
ทิศตะวันตกเฉียงเหนือ	Tit3ta0wan0tok1Ci:aN4nW:a4	northwest
ทิศตะวันตกเฉียงใต้	Tit3ta0wan0tok1Ci:aN4ta:j2	southwest
ทิศตะวันออก	Tit3ta0wan0O:k1	east
ทิศตะวันออกเฉียงเหนือ	Tit3ta0wan0O:k1Ci:aN4nW:a4	northeast
ทิศตะวันออกเฉียงใต้	Tit3ta0wan0O:k1Ci:aN4ta:j2	southeast
ทิศทักษิณ	Tit3Tak3sin4	south
ทิศทาง	Tit3Ta:N0	direction;way
ทิศทางการเงิน	Tit3Ta:N0ka:n0Nxn0	monetary flow
ทิศบูรพา	Tit3bu:0ra0Pa:0	east
ทิศประจิม	Tit3pra0cim0	west
ทิศปัจฉิม	Tit3pat1Cim4	west
ทิศพายัพ	Tit3Pa:0jap3	northwest
ทิศหรดี	Tit3hO:4ra0di:0	southwest
ทิศอาคเนย์	Tit3a:0Ka0ne:0	southeast
ทิศอิสาน	Tit3i1sa:n4	northeast
ทิศอีสาน	Tit3i:0sa:n4	northeast
ทิศอุดร	Tit3u0dO:n0	north
ทิศา	Ti3sa:4	direction
ทิศานุทิศ	Ti3sa:4nu3Tit3	everywhere;all directions
ทิศาปาโมกข์	Ti3sa:4pa:0mo:k2	famous instructor;great teacher
ทิศเหนือ	Tit3nW:a4	north
ทิศใต้	Tit3ta:j2	south
ทิเบต	Ti3be:t1	Tibet
ทิ่ม	Tim2	to stab;to pierce;to prick
ทิ่มตำ	Tim2tam0	to stab
ทิ่มตำใจ	Tim2tam0caj0	to sting;to hurt one's feeling;to upset;to distress
ทิ่มแทง	Tim2TE:N0	to stab;to prick;sarcastic
ทิ่มแทงใจ	Tim2TE:N0caj0	to sting
ทิ้ง	TiN3	to leave;to abandon;to throw away;to drop;to run away
ทิ้งกระจาด	TiN3kra0ca:t1	name of Chinese and Vietnamese custom
ทิ้งขว้าง	TiN3Kwa:N2	to leave off;to abandon
ทิ้งจดหมาย	TiN3cot1ma:j4	to drop a letter in a mailbox;to post a letter
ทิ้งช่วง	TiN3Cu:aN2	to delay;to be late
ทิ้งตัว	TiN3tu:a0	to sit down
ทิ้งทวน	TiN3Tu:an0	to do sth in last occasion;to give a parting shot;to do one's utmost
ทิ้งทาน	TiN3Ta:n0	to donate;to give away alms by scattering
ทิ้งท้าย	TiN3Ta:j3	to come to a pondering end;finally
ทิ้งฟ้อง	TiN3fO:N3	to discontinue;to abandon a legal case
ทิ้งมะพร้าวห้าว	TiN3ma0Pra:w3ha:w2	posture of diving by bending and holding both knees together
ทิ้งย่อ	TiN3jO:2	to have posture of diving by jumping down with both knees shrunk and both arms fully stretched out
ทิ้งรอย	TiN3rO:j0	to leave marks
ทิ้งระยะ	TiN3ra0ja3	to delay
ทิ้งร่องรอย	TiN3rON2rO:j0	to leave marks
ทิ้งสมอ	TiN3sa0mO:4	to drop an anchor
ทิ้งสายตา	TiN3sa:j4ta:0	to cast a look
ทิ้งไป	TiN3paj0	to leave
ทิ้งไพ่	TiN3Paj2	to lay down a card
ทิ้ง ๆ	TiN3TiN3	to abandon;to leave off;to pay no attention
ที	Ti:0	time;occasion;opportunity
ทีฆชาติ	Ti:0Ka0Ca:t2	snake
ทีฆนิกาย	Ti:0Ka0ni3ka:j0	name of the first canto of the Buddhist scriptures
ทีฆสระ	Ti:0Ka0sa0ra1	long vowels
ทีท่า	Ti:0Ta:2	attitude;posture;manner
ทีนี้	Ti:0ni:3	now;at this time;at present
ทีม	Ti:m0	team;group
ทีมงาน	Ti:m0Na:n0	working team
ทีมเฉพาะกิจ	Ti:m0Ca0PO3kit1	specific unit
ทีมเวิร์ก	Ti:m0wx:k2	teamwork
ทีละ	Ti:0la3	each;one by one
ทีละขั้น	Ti:0la3Kan2	step by step
ทีละน้อย	Ti:0la3nO:j3	gradually;little by little
ทีละน้อย ๆ	Ti:0la3nO:j3Ti:0la3nO:j3	gradually;bit by bit
ทีละเล็กทีละน้อย	Ti:0la3lek3Ti:0la3nO:j3	gradually;little by little
ทีละเล็กละน้อย	Ti:0la3lek3la3nO:j3	gradually;little by little
ทีวี	Ti:0wi:0	television;CL: เครื่อง
ทีวีพูล	Ti:0wi:0Pu:n0	The TV Pool of Thailand
ทีวีสี	Ti:0wi:0si:4	color television
ทีหน้า	Ti:0na:2	next time;later
ทีหน้าทีหลัง	Ti:0na:2Ti:0laN4	next time;later
ทีหลัง	Ti:0laN4	later;next
ทีเขาทีเรา	Ti:0Kaw3Ti:0raw0	his time his turn
ทีเดียว	Ti:0di:aw0	very;really
ทีเด็ด	Ti:0det1	good strategy
ทีเล่นทีจริง	Ti:0len2Ti:0ciN0	not so serious;playful
ทีเอ็นที	Ti:0en0Ti:0	TNT;trinitrotoluene
ทีแรก	Ti:0rE:k2	at first;from the beginning
ทีโอที	Ti:0o:0Ti:0	Telephone Organization of Thailand
ทีใครทีมัน	Ti:0Kraj0Ti:0man0	his time his turn
ทีไร	Ti:0raj0	whenever
ที่	Ti:2	(pronoun) that;place;seat;land;classifiers for places;ordinal number;at
ที่กรอง	Ti:2krO:N0	filter
ที่กล่าวมาข้างต้น	Ti:2kla:w1ma:0Ka:N2ton2	above-mentioned
ที่กำบัง	Ti:2kam0baN0	shelter
ที่กำบังภัย	Ti:2kam0baN0Paj0	air raid shelter
ที่คาดหวัง	Ti:2Ka:t2waN4	expectancy
ที่คุมขัง	Ti:2Kum0KaN4	prison
ที่ค้างแรม	Ti:2Ka:N3rE:m0	camp
ที่จริง	Ti:2ciN0	actually;in fact
ที่จริงแล้ว	Ti:2ciN0lE:w3	in fact
ที่จอดรถ	Ti:2cO:t1rot3	parking lot
ที่จอดรถประจำทาง	Ti:2cO:t1rot3pra0cam0Ta:N0	bus stop
ที่จะ	Ti:2ca1	that
ที่จับ	Ti:2cap1	handle
ที่ซ่อน	Ti:2sOn2	hiding place
ที่ดอน	Ti:2dO:n0	highland;plateau
ที่ดิน	Ti:2din0	land;lot;earth;soil
ที่ดินมือเปล่า	Ti:2din0mW:0pla:w1	land without document of ownership
ที่ดินวัด	Ti:2din0wat3	churchyard
ที่ตั้ง	Ti:2taN2	location;position
ที่ตีไข่	Ti:2ti:0Kaj1	whisk
ที่ต่อ	Ti:2tO:1	connection
ที่ต่ำ	Ti:2tam1	lowland
ที่ต่ำที่สูง	Ti:2tam1Ti:2su:N4	one's own place
ที่ถือ	Ti:2TW:4	handle
ที่ทาง	Ti:2Ta:N0	area;place
ที่ทำการ	Ti:2Tam0ka:n0	office
ที่ทำการป่าไม้	Ti:2Tam0ka:n0pa:1ma:j3	forestry office
ที่ทำการไปรษณีย์	Ti:2Tam0ka:n0praj0sa0ni:0	post office
ที่ทำการไปรษณีย์กลาง	Ti:2Tam0ka:n0praj0sa0ni:0kla:N0	General Post Office
ที่ทำกิน	Ti:2Tam0kin0	workplace;land
ที่ทำงาน	Ti:2Tam0Na:n0	office
ที่ทำมาหากิน	Ti:2Tam0ma:0ha:4kin0	workplace
ที่ธรณีสงฆ์	Ti:2TO:0ra0ni:0soN4	temple ground;sacred ground;land of temple
ที่นอน	Ti:2nO:n0	mattress;bed;place to sleep;resting place
ที่นั่ง	Ti:2naN2	situation;status;seat;throne;palace
ที่นั่น	Ti:2nan2	there;over there
ที่นา	Ti:2na:0	paddyfield;farmland
ที่นี่	Ti:2ni:2	here
ที่น้ำซับ	Ti:2nam3sap3	capillary water
ที่น้ำซึม	Ti:2nam3sWm0	area which water always ooze out
ที่บรรจุน้ำ	Ti:2ban0cu1na:m3	tank
ที่บังตา	Ti:2baN0ta:0	bamboo blind
ที่บังแดด	Ti:2baN0dE:t1	awning
ที่บูชา	Ti:2bu:0Ca:0	shrine;altar
ที่ประกอบการ	Ti:2pra0kO:p1ka:n0	office
ที่ประกาศ	Ti:2pra0ka:t1	board;billboard;signboard;display panel
ที่ประชุม	Ti:2pra0Cum0	conference;meeting;assembly
ที่ประทับ	Ti:2pra0Tap3	seat
ที่ประทับตรา	Ti:2pra0Tap3tra:0	seal
ที่ปรึกษา	Ti:2prWk1sa:4	adviser;consultant;counselor
ที่ปรึกษาความงาม	Ti:2prWk1sa:4Kwa:m0Na:m0	B.A.;beauty advisor
ที่ปรึกษาพิเศษ	Ti:2prWk1sa:4Pi3se:t1	special advisor
ที่ปลงศพ	Ti:2ploN0sop1	cemetery
ที่ปลอดบุหรี่	Ti:2plO:t1bu0ri:1	non-smoking area
ที่ปลอดภัย	Ti:2plO:t1Paj0	safety zone
ที่ปัดน้ำฝน	Ti:2pat1nam3fon4	wiper
ที่ปั๊มลม	Ti:2pam3lom0	air compressor
ที่ผูก	Ti:2Pu:k1	stake
ที่ผ่านมา	Ti:2Pa:n1ma:0	preceding;last
ที่ฝังศพ	Ti:2faN4sop1	cemetery;grave;tomb
ที่พัก	Ti:2Pak3	residence
ที่พักข้างทาง	Ti:2Pak3Ka:N2Ta:N0	motel;roadside hotel
ที่พักผู้โดยสาร	Ti:2Pak3Pu:2do:j0sa:n4	bus stop
ที่พักผ่อน	Ti:2Pak3POn1	recreation place;resting place
ที่พักผ่อนหย่อนใจ	Ti:2Pak3POn1jOn1caj0	recreation place
ที่พักฟื้น	Ti:2Pak3fW:n3	convalescent home
ที่พักริมทาง	Ti:2Pak3rim0Ta:N0	motel
ที่พักอาศัย	Ti:2Pak3a:0saj4	homestead
ที่พักแรม	Ti:2Pak3rE:m0	camp
ที่พำนักพักพิง	Ti:2Pam0nak3Pak3PiN0	residence;lodging house
ที่พึงประสงค์	Ti:2PWN0pra0soN4	desirable
ที่พึงพอใจ	Ti:2PWN0PO:0caj0	desirable
ที่พึ่ง	Ti:2PWN2	supporter;protection;sanctuary;shelter
ที่พึ่งพาอาศัย	Ti:2PWN2Pa:0a:0saj4	living place
ที่พึ่งพิง	Ti:2PWN2PiN0	supporter
ที่พึ่งสุดท้าย	Ti:2PWN2sut1Ta:j3	last resort
ที่มั่น	Ti:2man2	stronghold;stand;base;strong point;fortification
ที่มา	Ti:2ma:0	origin;source;cause
ที่มีความสำคัญในการรบ	Ti:2mi:0Kwa:m0sam4Kan0naj0ka:n0rop3	strategic
ที่ยอมรับ	Ti:2jO:m0rap3	acceptable;agreeable;admissible
ที่รกร้างว่างเปล่า	Ti:2rok3ra:N3wa:N2pla:w1	waste land
ที่รวม	Ti:2ru:am0	center;assembly;gathering
ที่รอง	Ti:2rO:N0	altar
ที่รองถ้วย	Ti:2rO:N0Tu:aj2	saucer
ที่รองรับ	Ti:2rO:N0rap3	base
ที่ระลึก	Ti:2ra0lWk3	souvenir;token
ที่รัก	Ti:2rak3	dear;sweetheart
ที่รับรอง	Ti:2rap3rO:N0	lounge
ที่ราบ	Ti:2ra:p2	plain;lowland
ที่ราบลุ่ม	Ti:2ra:p2lum2	low land;basin
ที่ราบสูง	Ti:2ra:p2su:N4	highland;plateau
ที่ร้าง	Ti:2ra:N3	vacant land;deserted place;wasteland
ที่ลับ	Ti:2lap3	secret place;genitals
ที่ลับตา	Ti:2lap3ta:0	unseen place;blind spot
ที่ลี้ภัย	Ti:2li:3Paj0	refuge
ที่ลุ่ม	Ti:2lum2	lowland;basin
ที่วางจาน	Ti:2wa:N0ca:n0	disk rack
ที่วางแขน	Ti:2wa:N0KE:n4	armrest
ที่ว่า	Ti:2wa:2	that
ที่ว่าการ	Ti:2wa:2ka:n0	government office
ที่ว่าการอำเภอ	Ti:2wa:2ka:n0am0Px:0	district office
